x	y	error_car_pre_dur
503967	2125197	1.525089059
504067	2125197	1.527654899
504167	2125197	1.530230723
504267	2125197	1.532816473
504367	2125197	1.535412092
504467	2125197	1.538017524
504567	2125197	1.540632714
504667	2125197	1.543257607
504767	2125197	1.545892147
504867	2125197	1.54853628
504967	2125197	1.551189952
505067	2125197	1.553853109
505167	2125197	1.556525698
505267	2125197	1.559207664
505367	2125197	1.561898957
505467	2125197	1.564599523
505567	2125197	1.567309311
505667	2125197	1.570028268
505767	2125197	1.572756344
505867	2125197	1.575493488
505967	2125197	1.578239648
506067	2125197	1.580994776
506167	2125197	1.58375882
506267	2125197	1.586531732
